Symbol,Description
AVONMORE,Avonmore Capital & Management Services Limited
RRECL,RDB Real Estate Constructions Ltd
ENCOMPAS,Encompass Design India Limited
TRANSWORLD,Transworld Shipping Lines Ltd
SURAJLTD,Suraj Limited
SHREEDHAR,Shreedhar Spinners Limited
ORIENTPPR,Orient Paper & Industries Ltd.
QUINT,Quint Digital Ltd
KESORAMIND,Kesoram Industries Ltd
QMSMEDI,QMS Medical Allied Services Limited
MVKAGRO,M.V.K. Agro Food Product Ltd.
HALDER,Halder Venture Ltd.
FELIX,Felix Industries Ltd
HOACFOODS,HOAC Foods India Limited
CKKRETAIL,C K K Retail Mart Limited
VARDHACRLC,Vardhman Acrylics Ltd.
KOTYARK,Kotyark Industries Ltd.
VGL,Varvee Global Limited
SHANKARA,Shankara Building Products Ltd.
TAALTECH,TAAL TECH LTD.
ABMKNO,ABM Knowledgeware Limited
METALIC,Metalic TechnoForge Limited
GOACARBON,Goa Carbon Limited
EMAMIREAL,Emami Realty Limited
TOLINS,Tolins Tyres Limited
GINNIFILA,Ginni Filaments Limited.
HCL_INSYS,HCL Infosystems Limited
APEXECO,Apex Ecotech Ltd.
ZODIAC,Zodiac Energy Ltd.
GRETEX,Gretex Industries Ltd.
THOMASCOTT,Thomas Scott (India) Limited
DANGEE,Dangee Dums Ltd.
INSPIRISYS,lnspirisys Solutions Limited
OILCOUNTUB,Oil Country Tubular Limited
KALYANIFRG,Kalyani Forge Limited
ANNU,Annu Projects Limited
MBLINFRA,MBL Infrastructure Limited
VGINFOTECH,Virtual Galaxy Infotech Ltd.
SILKFLEX,Silkflex Polymers (India) Ltd.
TRACXN,Tracxn Technologies Ltd.
SHEMAROO,Shemaroo Entertainment Ltd.
ASHUTOSH,Ashutosh Fibre Limited
SWISSMLTRY,Swiss Military Consumer Goods Limited
TCL,Thaai Casting Limited
PPAP,PPAP Automotive Limited
DREAMFOLKS,Dreamfolks Services Limited
CLAYCRAFT,Clay Craft India Limited
REMSONSIND,Remsons Industries Limited
GRCL,Gayatri Rubbers & Chemicals Ltd.
DCMNVL,DCM Nouvelle Ltd.
ESSARSHPNG,Essar Shipping Limited.
KCPSUGIND,KCP Sugar & Industries Corp. Ltd.
BEDMUTHA,Bedmutha Industries Limited
CPEDU,Career Point Edutech Limited
ATMASTCO,Atmastco Limited
DEVX,Dev Accelerator Limited
AKSHARCHEM,AksharChem India Ltd.
HPAL,HP Adhesives Ltd.
CGRAPHICS,Creative Graphics Solutions India Ltd.
HARRMALAYA,Harrisons Malayalam Ltd
AASTHA,Aastha Spintex Limited
IITL,Industrial Investment Trust Limited
SHANTIINOR,Shanti Inorganics Limited
RUCHIRA,Ruchira Papers Limited
DBEIL,Deepak Builders & Engineers India Limited
ROSSELLIND,Rossell India Limited
YASHOPTICS,Yash Optics and Lens Limited
SHAH,Shah Metacorp Ltd
SYSTANGO,Systango Technologies Limited
NURECA,Nureca Ltd.
GEEKAYWIRE,Geekay Wires Ltd.
TREJHARA,Trejhara Solutions Ltd.
ALMONDZ,Almondz Global Securities Limited
SIMCA,Simca Advertising Limited
OPTIMYSTIX,Optimystix Entertainment India Limited
UCAL,UCAL Limited
AVANA,Avana Electrosystems Limited
AVG,AVG Logistics Ltd.
APOLSINHOT,Apollo Sindoori Hotels Ltd.
ESFL,Essen Speciality Films Limited
VERTOZ,Vertoz Ltd
PRIMECAB,Prime Cable Industries Limited
KATARIA,Kataria Industries Limited
UCL,Ushanti Colour Chem Ltd.
SCANSTL,Scan Steels Ltd
KRITI,Kriti Industries (India) Ltd.
GULFPETRO,GP Petroleums Limited
DYNAMIC,Dynamic Services & Security Limited
COOLCAPS,Cool Caps Industries Limited
HILINFRA,Highway Infrastructure Limited
MEGASTAR,Megastar Foods Ltd.
TERASOFT,Tera Software Limited
CINELINE,Cineline India Limited
C2C,C2C Advanced Systems Ltd.
PODDARMENT,Poddar Pigments Limited
LYKALABS,Lyka Labs Limited
MAHICKRA,Mahickra Chemicals Ltd.
DAVANGERE,Davangere Sugar Company Limited
AGARWALTUF,Agarwal Toughened Glass India Limited
AXITA,Axita Cotton Ltd.
RHL,Robust Hotels Ltd.
PONNIERODE,Ponni Sugars (Erode) Ltd.
ASHIMASYN,Ashima Limited
CLEDUCATE,CL Educate Ltd.
GCHOTELS,Grand Continent Hotels Ltd.
MODIRUBBER,Modi Rubber Limited
ELGIRUBCO,Elgi Rubber Company Limited
BRANDMAN,Brandman Retail Limited
ARIHANTACA,Arihant Academy Ltd.
TIRUPATI,Shree Tirupati Balajee FIBC Ltd.
AMBALALSA,Ambalal Sarabhai Enterprises Limited
SAB,SAB Industries Ltd.
VIJIFIN,Viji Finance Ltd.
PKTEA,Peria Karamalai Tea & Produce Co. Ltd.
GENUSPAPER,Genus Paper & Boards Ltd
OLIL,Oneclick Logistics India Limited
TAMBOLIIN,Tamboli Industries Ltd
OMFREIGHT,Om Freight Forwarders Limited
SAYAJIIND,Sayaji Industries Limited
SVGLOBAL,S V Global Mill Ltd.
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Ltd.
ATLANTAA,Atlantaa Ltd
NATHBIOGEN,Nath Bio-Genes (India) Ltd.
SAVY,Savy Infra and Logistics Limited
DYNPRO,Dynemic Products Limited
ANNAPURNA,Annapurna Swadisht Limited
CPCAP,CP Capital Ltd
VARDMNPOLY,Vardhman Polytex Ltd
MEDICO,Medico Remedies Ltd.
RBMINFRA,RBM Infracon Limited
MAHEPC,Mahindra EPC Irrigation Limited
EXXARO,Exxaro Tiles Ltd.
SUNDRMBRAK,Sundaram Brake Linings Limited
BALAJIPHOS,Balaji Phosphates Ltd.
APCL,Anjani Portland Cement Limited
EPWINDIA,EPW India Limited
VETO,Veto Switchgears & Cables Ltd.
SONAMLTD,Sonam Ltd
CPS,C P S Shapers Ltd.
ACTIVEINFR,Active Infrastructures Limited
JAINIK,Jainik Power and Cables Ltd.
TIGERLOGS,Tiger Logistics (India) Ltd.
SKP,SKP Bearing Industries Ltd.
DJML,DJ Mediaprint & Logistics Ltd
CMNL,Chaman Metallics Ltd.
HIGREEN,HI-Green Carbon Limited
SOMATEX,Soma Textiles & Industries Ltd
RPPINFRA,RPP Infra Projects Ltd.
KMSUGAR,K.M. Sugar Mills Ltd.
MKEXIM,M.K. Exim (India) Limited
PLAZACABLE,Plaza Wires Limited
GICL,Globe International Carriers Ltd.
EMPOWER,Empower India Limited
SIKKO,Sikko Industries Ltd.
A2ZINFRA,A2Z Infra Engineering Limited
JAYSREETEA,Jay Shree Tea & Industries Ltd.
ESCONET,Esconet Technologies Limited
NILAINFRA,Nila Infrastructures Limited
COASTCORP,Coastal Corporation Limited
MARC,Marc Technocrats Limited
KRISHCA,Krishca Strapping Solutions Ltd.
AKANKSHA,Akanksha Power And Infrastructure Limited
VOLERCAR,Voler Car Limited
NDGL,Naga Dhunseri Group Ltd
YAAP,YAAP Digital Ltd.
SRD,Shankar Lal Rampal Dye-Chem Ltd.
GRAVISSHO,Graviss Hospitality Limited
SHREEKARNI,Shree Karni Fabcom Limited
BI,Bilcare Ltd
DIAMINESQ,Diamines & Chemicals Ltd.
LANCORHOL,Lancor Holdings Limited
PRITIKAUTO,Pritika Auto Industries Ltd
PUSHPA,Pushpa Jewellers Limited
SPENCERS,Spencer's Retail Ltd.
PRAMODINI,Pramodini Medicare Limited
AARON,Aaron Industries Ltd.
SSFL,Srivari Spices and Foods Limited
CHEMBOND,Chembond Material Technologies Limited
GLOBECIVIL,Globe Civil Projects Ltd.
TECHERA,Techera Engineering India Ltd.
RCOM,Reliance Communications Limited
MAGSON,Magson Retail and Distribution Limited
BIMETAL,Bimetal Bearings Limited
SAPPL,Shree Ajit Pulp And Paper Ltd
EQUIPPP,Equippp Social Impact Technologies Limited
MERCANTILE,Mercantile Ventures Ltd
DAICHI,Dai-Ichi Karkaria Limited
SPUNWEB,Spunweb Nonwoven Limited
RVHL,Ravinder Heights Ltd
IVC,IL&FS Investment Managers Ltd.
QUALIANCE,Qualiance International Ltd.
ALLETEC,All E Technologies Limited
SATKARTAR,Sat Kartar Life Limited
ASHWINI,Ashwini Container Movers Limited
WTICAB,Wise Travel India Limited
AHLEAST,Asian Hotels (East) Limited
TAKE,TAKE Limited
ASCOM,Ascom Leasing & Investments Ltd.
SHRADHA,Shradha Realty Ltd
STARPAPER,Star Paper Mills Ltd.
DSFCL,DCM Shriram Fine Chemicals Limited
JAINAM,Jainam Ferro Alloys (I) Ltd.
SSDL,Saraswati Saree Depot Limited
VMSTMT,Vms Tmt Limited
LOTUSEYE,Lotus Eye Hospital And Institute Ltd
SHIVAMAUTO,Shivam Autotech Limited
TRF,TRF Limited.
SAKUMA,Sakuma Exports Limited
FCSSOFT,FCS Software Solutions Limited
RNBDENIMS,R&B Denims Ltd
NIPPOBATRY,Indo National Limited
UFO,UFO Moviez India Ltd.
KHADIM,Khadim India Limited
MARALOVER,Maral Overseas Limited
COMPEAU,Competent Automobiles Co. Ltd.
SAHLIBHFI,Shalibhadra Finance Limited
BHADORA,Bhadora Industries Limited
WORTHPERI,Worth Peripherals Ltd.
NITIRAJ,Nitiraj Engineers Ltd.
BTTL,Bhilwara Technical Textiles Limited
STARTECK,Starteck Finance Ltd.
MANAKALUCO,Manaksia Aluminium Company Ltd
ACCPL,Accretion Pharmaceuticals Ltd.
DUCOL,Ducol Organics & Colours Ltd.
VIKASLIFE,Vikas Lifecare Limited
ARVEE,Arvee Laboratories (India) Ltd.
IVP,IVP Ltd
NATIONSTD,National Standard (India) Ltd.
MUNISH,Munish Forge Ltd.
LEMERITE,Le Merite Exports Ltd.
RMC,RMC Switchgears Ltd.
DPWIRES,DP Wires Ltd.
ICELCO,IC Electricals Company Limited
GENCON,Generic Engineering Construction & Projects Ltd.
FIDEL,Fidel Softech Ltd.
IWP,Indian Wood Products Co. Ltd.
BAGDIGITAL,B.A.G. Convergence Ltd.
SUMIT,Sumit Woods Ltd.
SILGO,Silgo Retail Ltd
SMARTLINK,Smartlink Holdings Limited
ZEELEARN,Zee Learn Limited
SETCO,Setco Automotive Limited
USHAFIN,Usha Financial Services Limited
KOTARISUG,Kothari Sugars & Chemicals Ltd.
BPL,BPL Limited
APRAMEYA,Aprameya Engineering Limited
TECHLABS,Trident Techlabs Limited
GOLDTECH,AION-TECH Solutions Limited
SURANAT&P,Surana Telecom & Power Ltd.
TEAMGTY,Team India Guaranty Ltd
RANASUG,Rana Sugars Limited
SAKHTISUG,Sakthi Sugars Limited
SUBAHOTELS,Suba Hotels Limited
EFACTOR,E Factor Experiences Ltd.
GOLDSTAR,Goldstar Power Ltd.
PAVNAIND,Pavna Industries Limited
GILLANDERS,Gillanders Arbuthnot & Co. Ltd.
NOVAAGRI,Nova Agritech Limited
UNITEDTEA,United Nilgiri Tea Estates Co. Ltd.
HAMPTON,Hampton Sky Realty Limited
NECLIFE,Nectar Lifesciences Ltd.
ALFREDHE,Alfred Herbert (India) Ltd.
PRATHAM,Pratham EPC Projects Ltd.
MAHESHWARI,Maheshwari Logistics Ltd.
CENTEXT,Century Extrusions Ltd
PIGL,Power & Instrumentation (Gujarat) Ltd.
CCHHL,Country Club Hospitality & Holidays Limited
INM,Interiors & More Ltd.
ANYA,Anya Polytech & Fertilizers Limited
FINBUD,Finbud Financial Services Limited
MLKFOOD,Milkfood Ltd.
VSTL,Vibhor Steel Tubes Ltd.
SRGHFL,SRG Housing Finance Ltd.
SHIVATEX,Shiva Texyarn Limited
SIGIND,Signet Industries Limited
MADHAVIPL,Madhav Infra Projects Ltd.
DHARARAIL,Dhara Rail Projects Limited
CSSL,Clear Secured Services Ltd.
SHIVASHRIT,Shivashrit Foods Limited
PROPEQUITY,P.E. Analytics Limited
RADIOCITY,Music Broadcast Ltd.
AIRAN,Airan Ltd.
KORE,Jay Jalaram Technologies Ltd.
TAINWALCHM,Tainwala Chemicals & Plastics (India) Ltd
ALANKIT,Alankit Limited
ARCHIDPLY,Archidply Industries Limited
SICAGEN,Sicagen India Limited
NEAGI,Neelamalai Agro Industries Limited
SUMAX,Sumax Engineering Limited
AVATAR,Avatar Industries Ltd
ASMS,Avio Smart Market Stack Ltd
RVTH,Revathi Equipment India Ltd.
ARCL,ARCL Organics Ltd.
SPEB,SPEB Adhesives Ltd.
AUSOMENT,Ausom Enterprise Limited
SINTERCOM,Sintercom India Ltd.
SAHAJSOLAR,Sahaj Solar Limited
RUDRA,Rudra Global Infra Products Ltd.
NECCLTD,North Eastern Carrying Corp. Ltd.
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited
AARVI,Aarvi Encon Ltd.
JMA,Jullundur Motor Agency (Delhi) Ltd
VIJSOLX,Vijay Solvex Ltd.
AFFORDABLE,Affordable Robotic & Automation Ltd.
BASML,Bannari Amman Spinning Mills Limited
ALPINETEX,Alpine Texworld Limited
HINDADH,Hindustan Adhesives Limited
AARADHYA,Aaradhya Disposal Industries Limited
RRIL,RRIL Limited
ONDOOR,On Door Concepts Limited
NTCIND,NTC Industries Limited
ASPINWALL,Aspinwall and Company Limited
ELGNZ,Eleganz Interiors Ltd.
INTENTECH,Intense Technologies Limited
MASON,Mason Infratech Limited
EKI,EKI Energy Services Ltd.
EMAPARTNER,Ema Partners India Limited
TRANSTEEL,Transteel Seating Technologies Limited
VIPCLOTHNG,VIP Clothing Limited
RBS,Ramdevbaba Solvent Limited
GOYALSALT,Goyal Salt Limited
TTL,T T Limited
MACOBSTECH,Macobs Technologies Ltd.
GIRIRAJ,Giriraj Civil Developers Ltd.
BCONCEPTS,Brand Concepts Ltd.
ZODIACLOTH,Zodiac Clothing Company Limited
JAYBEE,Jay Bee Laminations Limited
ALPHAGEO,Alphageo (India) Ltd.
ABANSENT,ABans Enterprises Ltd.
GLOBALVECT,Global Vectra Helicorp Limited
CUDML,Cash Ur Drive Marketing Limited
VIKASECO,Vikas EcoTech Limited
WATERBASE,Waterbase Limited
MRIL,Mahendra Realtors & Infrastructure Limited
DRCSYSTEMS,DRC Systems India Limited
COMFINTE,Comfort Intech Limited
HVAX,HVAX Technologies Ltd.
UMIYA_MRO,Umiya Buildcon Limited
RAPPID,Rappid Valves (India) Limited
IPHL,Indian Phosphate Ltd.
SHREYANIND,Shreyans Industries Limited
DURLAX,Durlax Top Surface Limited
SUPERHOUSE,Superhouse Limited
SPCENET,Spacenet Enterprises India Ltd.
GOLDKART,Goldkart Jewels Ltd
NEOCHEM,Neochem Bio Solutions Ltd.
AVIENCE,Avience Biomedicals Limited
ESSENTIA,Integra Essentia Limited
SHUBHSHREE,Shubhshree Biofuels Energy Ltd.
IPRINGLTD,IP Rings Limited
TEXMOPIPES,Texmo Pipes & Products Ltd.
GREENCHEF,Greenchef Appliances Limited
NATCAPSUQ,Natural Capsules Limited
BROOKS,Brooks Laboratories Limited
ATALREAL,Atal Realtech Limited
SHAHALLOYS,Shah Alloys Limited
BALPHARMA,Bal Pharma Limited
FWSTC,Flywings Simulator Training Centre Limited
TRIGYN,Trigyn Technologies Limited
NIRAJ,Niraj Cement Structurals Limited
MURUDCERA,Murudeshwar Ceramics Limited
AMBAAUTO,Amba Auto Sales and Services Limited
PRITIKA,Pritika Engineering Components Ltd.
EMMBI,Emmbi Industries Limited
PILITA,PIL Italica Lifestyle Limited
AERONEU,Aeroflex Neu Limited
VIPULLTD,Vipul Limited
EEPL,Eppeltone Engineers Limited
RACE,Race Eco Chain Ltd.
WARDINMOBI,Wardwizard Innovations & Mobility Ltd.
KANCHI,Kanchi Karpooram Ltd
ROYALARC,Royal Arc Electrodes Limited
AVANCE,Avance Technologies Limited
MADHAVBAUG,Vaidya Sane Ayurved Laboratories Limited
EXIMROUTES,Exim Routes Limited
SURYALA,Suryalata Spinning Mills Limited
POLYSIL,Polysil Irrigation Systems Ltd.
NRVANDANA,N R Vandana Tex Industries Limited
BAIDFIN,Baid Finserv Limited
AARTECH,Aartech Solonics Ltd.
MODTHREAD,Modern Threads (India) Ltd
CURIS,Curis Lifesciences Limited
CANARYS,Canarys Automations Ltd.
HBESD,HB Estate Developers Limited
PAR,Par Drugs and Chemicals Limited
METROGLOBL,Metroglobal Ltd.
MHLXMIRU,Mahalaxmi Rubtech Ltd
GLOBALPET,Global Pet Industries Limited
SPCL,Shivalic Power Control Limited
POSITRON,Positron Energy Limited
ETML,Emerald Tyre Manufacturers Ltd.
BIKEWO,Bikewo Green Tech Limited
SAWALIYA,Sawaliya Food Products Limited
FILATFASH,Filatex Fashions Limited
MASTER,Master Components Limited
CURRENT,Current Infraprojects Limited
NIKITA,Nikita Greentech Recycling Limited
BYKE,Byke Hospitality Ltd.
INCREDIBLE,Incredible Industries Limited
MSL,Mangalam Seeds Ltd
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited
MOS,MOS Utility Ltd.
AMJLAND,AMJ Land Holdings Ltd.
INDOUS,Indo US Bio-Tech Ltd.
VIRINCHI,Virinchi Ltd.
SADHAV,Sadhav Shipping Ltd.
DUGLOBAL,Dudigital Global Limited.
SRTL,Shree Ram Twistex Limited
BHARATGEAR,Bharat Gears Limited
PRAENG,Prajay Engineers Syndicate Ltd
VASWANI,Vaswani Industries Limited
BARFLEX,Barflex Polyfilms Ltd.
LAL,Lorenzini Apparels Ltd.
DOLLEX,Dollex Agrotech Limited
TEJA,Teja Engineering Industries Limited
SHRITECH,Shri Techtex Limited
DTIL,Dhunseri Tea & Industries Ltd
MCL,M Tek Copper Ltd
IBLFL,IBL Finance Ltd.
PML,Paul Merchants Ltd.
ISFT,Intrasoft Technologies Limited
INFOLLION,Infollion Research Services Limited
RAPIDFLEET,Rapid Fleet Management Services Limited
MKPL,M K Proteins Limited
DENEERS,De Neers Tools Ltd.
ROLLT,Rollatainers Limited
PHANTOMFX,Phantom Digital Effects Ltd.
SPCON,Srinibas Pradhan Constructions Limited
SDREAMS,S D Retail Limited
INDTERRAIN,Indian Terrain Fashions Limited
BEARDSELL,Beardsell Limited
TUNWAL,Tunwal E-Motors Limited
RELIABLE,Reliable Data Services Ltd.
RPPL,Rajshree Polypack Ltd.
ESPRIT,Esprit Stones Ltd.
DGCONTENT,Digicontent Ltd.
AVIANSH,Avi Ansh Textile Limited
INDOWIND,Indowind Energy Limited
BEACON,Beacon Trusteeship Ltd.
RAJPUTANA,Rajputana Biodiesel Limited
CALSOFT,California Software Co. Ltd.
TBI,TBI Corn Limited
BRIGHTBR,Bright Brothers Limited
KAMOPAINTS,Kamdhenu Ventures Ltd.
DCM,DCM Ltd.
SECMARK,SecMark Consultancy Ltd.
FONEBOX,Fonebox Retail Limited
WIPL,Western India Plywoods Ltd.
AVPINFRA,Avp Infracon Ltd.
TARMAT,Tarmat Ltd.
RAJINDLTD,Rajputana Industries Limited
SALONA,Salona Cotspin Limited
LLOYDS,Lloyds Luxuries Ltd.
SHBAJRG,Shri Bajrang Alliance Limited
AERON,Aeron Composite Limited
TIPSFILMS,Tips Films Limited
OWAIS,Owais Metal & Mineral Processing Ltd.
HPIL,Hindprakash Industries Ltd.
PARNAXLAB,Parnax Lab Limited
CROWN,Crown Lifters Ltd.
KRITIKA,Kritika Wires Limited
DCG,DCG Cables & Wires Ltd
ISHANCH,Ishan Dyes and Chemicals Limited
BRNL,Bharat Road Network Ltd.
GATECHDVR,GACM Technologies Limited
GATECH,GACM Technologies Limited
EMMIL,Energy-Mission Machineries (India) Limited
ENFUSE,Enfuse Solutions Ltd.
LAGNAM,Lagnam Spintex Ltd.
GVPTECH,GVP Infotech Ltd
KEYFINSERV,Keynote Financial Services Limited
AIROLAM,Airo Lam Ltd.
PREMCO,Premco Global Limited
SIDDHIKA,Siddhika Coatings Limited
VITAL,Vital Chemtech Ltd.
MUKTAARTS,Mukta Arts Limited
SPECTSTM,Spectrum Talent Management Limited
DEVIT,Dev Information Technology Ltd
ONELIFECAP,Onelife Capital Advisors Limited
VINOD,Vinod Texworld Limited
SADBHAV,Sadbhav Engineering Limited
STEELCITY,Steel City Securities Ltd.
MAGNUM,Magnum Ventures Limited.
BSL,BSL Ltd
BALAXI,Balaxi Pharmaceuticals Limited
BTML,Bodhi Tree Multimedia Ltd.
WINSOL,Winsol Engineers Limited
AARNAV,Aarnav Fashions Ltd.
GENXAI,GenXAI Analytics Limited
SURANI,Surani Steel Tubes Ltd.
ALPA,Alpa Laboratories Limited
SURANASOL,Surana Solar Limited
JOCIL,Jocil Limited
CORALFINAC,Coral India Finance & Housing Ltd.
ROCKINGDCE,RockingDeals Circular Economy Limited
ALUWIND,Aluwind Infra-Tech Ltd
LAMBODHARA,Lambodhara Textiles Ltd.
SHIGAN,Shigan Quantum Technologies Ltd.
HINDCON,Hindcon Chemicals Ltd.
CUBEXTUB,Cubex Tubings Ltd
INDIANCARD,Indian Card Clothing Co. Ltd.
DELPHIFX,Delphi World Money Limited
OSWALSEEDS,ShreeOswal Seeds & Chemicals Ltd.
ENVIRO,Envirotech Systems Limited
PROFX,Pro Fx Tech Ltd.
LKPSEC,LKP Securities Limited
CLSL,Crop Life Science Ltd.
VIJAYPD,Vijaypd Ceutical Limited
GSLSU,Global Surfaces Limited
ROML,Raj Oil Mills Limited
ANIKINDS,Anik Industries Limited
SUPREME,Supreme Holdings & Hospitality (India) Limited
GJL,Grover Jewells Ltd.
SONAL,Sonal Mercantile Ltd
OBCL,OBCL Limited
SHEEL,Sheel Biotech Limited
URAVIDEF,Uravi Defence and Technology Limited
QUESTLAB,Quest Laboratories Ltd.
CFEL,Confidence Futuristic Energetech Ltd.
KREBSBIO,Krebs Biochemicals & Industries Ltd.
WHBRADY,W H Brady and Company Limited
AKSHOPTFBR,Aksh Optifibre Limited
AESTHETIK,Aesthetik Engineers Limited
DHARIWAL,Dhariwalcorp Limited
AAATECH,AAA Technologies Ltd.
HECPROJECT,HEC Infra Projects Ltd.
DIGJAMLMTD,Digjam Ltd.
THACKER,Thacker and Company Limited
ITL,ITL Industries Limited
PRAMARA,Pramara Promotions Ltd.
RUCHINFRA,Ruchi Infrastructure Limited
SAMPANN,Sampann Utpadan India Ltd
CHEMCRUX,Chemcrux Enterprises Ltd.
PARTYCRUS,Party Cruisers Limited
BCPL,BCPL Railway Infrastructure Ltd.
LAHOTIOV,Lahoti Overseas Limited
LATTEYS,Latteys Industries Ltd.
HOLMARC,Holmarc Opto-Mechatronics Ltd.
ASSAMENT,Assam Entrade Ltd.
VISHWARAJ,Vishwaraj Sugar Industries Ltd.
AMDIND,AMD Industries Limited
SAMBHAAV,Sambhaav Media Limited
RSDFIN,RSD Finance Ltd.
VIAZ,Viaz Tyres Ltd.
USK,Udayshivakumar Infra Ltd.
MEGAFLEX,Mega Flex Plastics Limited
DEEP,Deep Polymers Ltd.
SCML,Sharp Chucks & Machines Ltd.
FORGEAUTO,Forge Auto International Ltd.
TOTAL,Total Transport Systems Ltd.
KOHINOOR,Kohinoor Foods Limited.
INDBANK,Indbank Merchant Banking Services Limited
AMEYA,Ameya Precision Engineers Ltd.
GANGESSECU,Ganges Securities Ltd.
MAKERSL,Makers Laboratories Ltd
JAYESH,Jayesh Logistics Limited
GTL,GTL Limited
SHYAMDHANI,Shyam Dhani Industries Limited
BNALTD,B & A Limited
VLEGOV,VL E-Governance & IT Solutions Ltd.
JEYYAM,Jeyyam Global Foods Limited
WEIZMANIND,Weizmann Limited
SURYALAXMI,Suryalakshmi Cotton Mills Ltd.
XELPMOC,Xelpmoc Design And Tech Ltd
RTL,Rama Telecom Limited
HAPPY,Happy Steels Ltd.
SHYAMCENT,Shyam Century Ferrous Ltd.
SOMICONVEY,Somi Conveyor Beltings Limited
KEN,KEN Enterprises Ltd.
CRSL,Cressanda Railway Solutions Ltd
RAJSREESUG,Rajshree Sugars & Chemicals Limited
MAL,Mangalam Alloys Ltd.
SMARTEN,Smarten Power Systems Limited
NAGAFERT,Nagarjuna Fertilizers & Chemicals Ltd.
MITCON,MITCON Consultancy & Engineering Services Ltd.
SUPTANERY,Super Tannery Ltd.
MDL,Marvel Decor Ltd.
REPL,Rudrabhishek Enterprises Ltd.
AVROIND,AVRO India Ltd.
VGCL,Vibrant Global Capital Ltd
ZENITHEXPO,Zenith Exports Limited
DBSTOCKBRO,DB (International) Stock Brokers Limited
GROBTEA,Grob Tea Co. Ltd.
COMPUSOFT,Compucom Software Limited
VIGOR,Vigor Plast India Limited
PROPSHOP,Propshop Events and Exhibitions Limited
VALUE360,Value 360 Communications Limited
GSMFOILS,GSM Foils Ltd
SRIVASAVI,Srivasavi Adhesive Tapes Limited
THAKDEV,Thakker's Developers Ltd.
URBAN,Urban Enviro Waste Management Limited
PARAGON,Paragon Fine And Speciality Chemical Limited
LOVABLE,Lovable Lingerie Limited
ROXHITECH,ROX Hi-Tech Limited
KKJEWELS,Kabra Jewels Limited
ZEAL,Zeal Global Services Ltd.
PRLIND,Premier Roadlines Ltd.
OPTIFIN,Optimus Finance Ltd
DTL,Diensten Tech Limited
PIONRINV,Pioneer Investcorp Limited
NARMADA,Narmada Agrobase Limited
MOTOGENFIN,Motor & General Finance Ltd.
MOBILISE,Mobilise App Lab Ltd.
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED
SIL,Standard Industries Limited
SYLVANPLY,Sylvan Plyboard (India) Limited
ALKALI,Alkali Metals Ltd.
EMKAYTOOLS,Emkay Taps & Cutting Tools Ltd.
AMBANIORGO,Ambani Orgochem Ltd
SATTVAENGG,Sattva Engineering Construction Limited
ARTNIRMAN,Art Nirman Ltd
ARABIAN,Arabian Petroleum Limited
NORBTEAEXP,Norben Tea & Exports Ltd.
AMARJOTHI,Amarjothi Spinning Mills Limited
DHARAN,Dharan Infra-EPC Ltd
JETFREIGHT,Jet Freight Logistics Ltd.
LOYALTEX,Loyal Textile Mills Limited
NAVKARURB,Navkar Urbanstructure Limited
MARUSHIKA,Marushika Technology Limited
PURVFLEXI,Purv Flexipack Ltd
BHANDARI,Bhandari Hosiery Exports Ltd
SHILGRAVQ,Shilp Gravures Limited
MINALIND,Minal Industries Limited
PACIFICI,Pacific Industries Ltd.
AAKAAR,Aakaar Medical Technologies Limited
IDEALTECHO,Ideal Technoplast Industries Limited
BAGFILMS,B.A.G. Films & Media Ltd.
INVENTURE,Inventure Growth & Securities Ltd.
KSHITIJPOL,Kshitij Polyline Ltd.
VR,V R Infraspace Ltd.
UTKAL,Utkal Speciality Industries India Limited
KHFM,KHFM Hospitality & Facility Management Services Ltd.
MGSL,Matrix Geo Solutions Ltd.
PATINTLOG,Patel Integrated Logistics Ltd.
MADHURKNIT,Madhur Knit Crafts Limited
LAKSHYA,Lakshya Powertech Limited
SELLOWRAP,Sellowrap Industries Limited
BVCL,Barak Valley Cements Limited
KONSTELEC,Konstelec Engineers Limited
LPDC,Landmark Property Development Co. Ltd.
DIGIKORE,Digikore Studios Limited
SUPREMEENG,Supreme Engineering Ltd.
MAXPOSURE,Maxposure Limited
JYOTIGLOBL,Jyoti Global Plast Limited
AAKASH,Aakash Exploration Services Ltd.
CAPTRUST,Capital Trust Ltd. (India)
USASEEDS,Upsurge Seeds of Agriculture Ltd.
CLASSICEIL,Classic Electrodes India Limited
MUKESHB,Mukesh Babu Financial Services Limited
SHERVANI,Shervani Industrial Syndicate Limited
SELMC,SEL Manufacturing Co. Ltd.
KCK,KCK Industries Limited
CRAVATEX,Cravatex Limited
VAISHALI,Vaishali Pharma Ltd.
SADBHIN,Sadbhav Infrastructure Project Ltd.
SLONE,Slone Infosystems Limited
KCEIL,Kay Cee Energy & Infra Limited
RELCHEMQ,Reliance Chemotex Industries Ltd
MANILAM,Manilam Industries India Limited
TICL,Twamev Construction And Infrastructure Limited
EXCELLENT,Excellent Wires & Packaging Limited
WOL3D,WOL 3D India Limited
GOYALALUM,Goyal Aluminiums Limited
HISARMETAL,Hisar Metal Industries Limited
RAJMET,Rajnandini Metal Ltd.
